Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-3b,0.7,numeric,zero_shot,0,,plain,90.38,5715.14,6154.98,0.0,0.164344,0.369311,0.040147,0.35507,11921,246,10.099772214889526,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5948.0, 7596.0, 8792.0, 10025.0, 11039.0, 10684.0, 8977.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-3b,0.7,numeric,zero_shot,0,,plain,68.6,3533.43,3880.86,0.0,0.077237,0.173566,0.015654,0.138451,11921,241,4.148548603057861,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4856.0, 6981.0, 7234.0, 8919.0, 7934.0, 6178.0, 5687.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-3b,0.7,numeric,zero_shot,0,,plain,72.38,5105.57,6962.98,0.0,0.080037,0.179858,0.015615,0.138101,11921,246,4.229436159133911,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5849.0, 6216.0, 7489.0, 5943.0, 15156.0, 14782.0, 2393.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-3b,0.7,numeric,zero_shot,0,,plain,42.82,2186.86,3232.58,0.0,0.064018,0.14386,0.016094,0.142341,11921,209,3.639859676361084,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[8493.0, 5077.0, 10723.0, 1845.0, 3667.0, 2029.0, 2909.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-3b,0.7,numeric,zero_shot,0,,plain,82.95,5749.29,7098.12,0.0,0.078371,0.176114,0.017121,0.151419,11921,257,4.426799297332764,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5384.0, 4917.0, 6829.0, 7982.0, 10246.0, 12462.0, 15480.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-3b,0.7,textual,zero_shot,0,,plain,199.23,3287.57,3353.64,0.0,0.158977,0.357251,0.027763,0.245537,13423,208,7.268666982650757,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4.0, 3.0, 9.0, 8.0, 5.0, 7.0, 6.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-3b,0.7,textual,zero_shot,0,,plain,192.07,3230.29,3298.35,0.0,0.081994,0.184256,0.019011,0.16814,13423,244,4.338705062866211,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[57.0, 49.0, 64.0, 81.0, 59.0, 71.0, 62.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-3b,0.7,textual,zero_shot,0,,plain,199.2,3287.29,3353.25,0.0,0.065865,0.148012,0.014624,0.12934,13423,224,3.9803659915924072,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4.0, 7.0, 9.0, 4.0, 7.0, 8.0, 5.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-3b,0.7,textual,zero_shot,0,,plain,199.22,3287.33,3353.18,0.0,0.059432,0.133555,0.015585,0.137834,13423,194,3.4166555404663086,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5.8, 7.9, 6.4, 4.8, 7.2, 5.5, 6.1]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-3b,0.7,textual,zero_shot,0,,plain,198.95,3285.57,3351.87,0.0,0.05375,0.120787,0.013733,0.121458,13423,188,3.302560329437256,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
