date,value
2017-01-01,0.0
2017-01-02,173.93200000000004
2017-01-03,175.37300000000005
2017-01-04,42.185
2017-01-05,42.66350000000001
2017-01-06,33.605000000000004
2017-01-07,57.27150000000002
2017-01-08,48.43299999999997
2017-01-09,132.94600000000005
2017-01-10,118.38200000000002
2017-01-11,29.38100000000001
2017-01-12,30.068500000000004
2017-01-13,37.09750000000001
2017-01-14,50.49550000000001
2017-01-15,48.724500000000006
2017-01-16,165.39600000000002
2017-01-17,164.70850000000019
2017-01-18,31.256500000000006
2017-01-19,42.49300000000001
2017-01-20,46.02950000000001
2017-01-21,54.95050000000001
2017-01-22,33.44
2017-01-23,178.94799999999998
2017-01-24,184.03000000000003
2017-01-25,39.468
2017-01-26,34.347500000000004
2017-01-27,51.97499999999998
2017-01-28,55.06600000000002
2017-01-29,37.427500000000016
2017-01-30,157.212
2017-01-31,231.2035000000001
2017-02-01,60.96750000000006
2017-02-02,58.310999999999986
2017-02-03,39.99049999999999
2017-02-04,54.16400000000002
2017-02-05,50.682500000000005
2017-02-06,156.387
2017-02-07,161.47450000000003
2017-02-08,51.99700000000001
2017-02-09,36.63550000000001
2017-02-10,42.377500000000005
2017-02-11,43.68650000000001
2017-02-12,48.16349999999999
2017-02-13,111.40249999999999
2017-02-14,166.55100000000007
2017-02-15,41.01900000000002
2017-02-16,32.642500000000005
2017-02-17,41.25550000000001
2017-02-18,55.97349999999999
2017-02-19,33.26400000000001
2017-02-20,137.72550000000007
2017-02-21,218.67999999999998
2017-02-22,54.93400000000004
2017-02-23,36.179
2017-02-24,46.46400000000003
2017-02-25,74.49750000000003
2017-02-26,48.9885
2017-02-27,119.05299999999997
2017-02-28,120.2795
2017-03-01,73.315
2017-03-02,53.096999999999994
2017-03-03,47.32200000000001
2017-03-04,63.783500000000004
2017-03-05,33.5005
2017-03-06,221.3640000000001
2017-03-07,205.359
2017-03-08,53.64699999999999
2017-03-09,38.52199999999999
2017-03-10,36.294500000000006
2017-03-11,61.721
2017-03-12,36.85000000000001
2017-03-13,139.2655
2017-03-14,144.65000000000003
2017-03-15,33.308000000000014
2017-03-16,54.906499999999994
2017-03-17,37.4165
2017-03-18,42.10799999999999
2017-03-19,46.81599999999998
2017-03-20,121.73700000000005
2017-03-21,154.83050000000003
2017-03-22,33.275000000000006
2017-03-23,44.363
2017-03-24,37.565000000000005
2017-03-25,57.97000000000001
2017-03-26,39.72100000000001
2017-03-27,112.8545
2017-03-28,155.32550000000006
2017-03-29,39.55599999999999
2017-03-30,40.56799999999999
2017-03-31,52.563499999999976
2017-04-01,82.91249999999997
2017-04-02,54.339999999999996
2017-04-03,177.91949999999989
2017-04-04,170.2305
2017-04-05,46.11199999999999
2017-04-06,48.7685
2017-04-07,56.03400000000003
2017-04-08,59.97200000000002
2017-04-09,51.13350000000001
2017-04-10,117.98050000000003
2017-04-11,108.39400000000002
2017-04-12,44.37400000000001
2017-04-13,75.00350000000003
2017-04-14,51.97500000000002
2017-04-15,34.3145
2017-04-16,34.050500000000035
2017-04-17,137.59900000000002
2017-04-18,163.7955
2017-04-19,34.29800000000001
2017-04-20,45.54
2017-04-21,71.81349999999999
2017-04-22,45.47400000000001
2017-04-23,48.922500000000014
2017-04-24,99.24199999999999
2017-04-25,127.96850000000005
2017-04-26,53.152000000000015
2017-04-27,44.73700000000001
2017-04-28,66.04400000000003
2017-04-29,64.63600000000004
2017-04-30,61.77050000000002
2017-05-01,0.0
2017-05-02,267.498
2017-05-03,96.481
2017-05-04,62.7451
2017-05-05,62.100500000000025
2017-05-06,68.3859
2017-05-07,55.11000000000001
2017-05-08,212.8995000000001
2017-05-09,194.84300000000013
2017-05-10,50.385500000000015
2017-05-11,28.28100000000001
2017-05-12,45.10550000000002
2017-05-13,78.82049999999998
2017-05-14,52.70099999999997
2017-05-15,156.21100000000004
2017-05-16,134.27149999999997
2017-05-17,34.97449999999999
2017-05-18,28.501
2017-05-19,42.97700000000002
2017-05-20,61.7045
2017-05-21,46.282500000000006
2017-05-22,205.87599999999992
2017-05-23,174.11350000000007
2017-05-24,50.21390000000001
2017-05-25,46.57399999999999
2017-05-26,58.421000000000014
2017-05-27,58.949000000000005
2017-05-28,47.765300000000025
2017-05-29,143.41250000000002
2017-05-30,151.60749999999996
2017-05-31,58.99300000000001
2017-06-01,98.41149999999999
2017-06-02,53.71849999999999
2017-06-03,72.11600000000001
2017-06-04,50.96850000000002
2017-06-05,115.83550000000001
2017-06-06,184.09600000000003
2017-06-07,49.417500000000004
2017-06-08,52.28300000000001
2017-06-09,39.633
2017-06-10,45.539999999999985
2017-06-11,33.937200000000004
2017-06-12,122.14400000000003
