Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistralai/mistral-medium-3.5-128b,0.7,numeric,zero_shot,0,,plain,27.59,134.96,191.39,0.077883,0.230632,2.234544,0.084991,0.751673,48652,654,199.31439328193665,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 70.0, 553.0, 1400.0, 1053.0, 823.0, 641.0, 549.0, 784.0, 815.0, 712.0, 799.0, 901.0, 1124.0, 1751.0, 1703.0, 997.0, 719.0, 541.0, 457.0, 139.0, 43.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistralai/mistral-medium-3.5-128b,0.7,numeric,zero_shot,0,,plain,22.9,120.96,180.33,0.077771,0.682803,6.615516,0.304014,2.688748,48652,639,716.2358491420746,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 74.0, 651.0, 1394.0, 1056.0, 811.0, 574.0, 530.0, 694.0, 818.0, 732.0, 844.0, 960.0, 1214.0, 1724.0, 1727.0, 990.0, 643.0, 469.0, 380.0, 139.0, 22.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistralai/mistral-medium-3.5-128b,0.7,numeric,zero_shot,0,,plain,22.55,107.38,168.33,0.077906,0.037899,0.367196,0.017216,0.152263,48652,657,41.14249086380005,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 74.0, 661.0, 1490.0, 1213.0, 881.0, 637.0, 562.0, 884.0, 944.0, 876.0, 834.0, 1003.0, 1289.0, 1768.0, 1653.0, 998.0, 697.0, 484.0, 429.0, 142.0, 27.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistralai/mistral-medium-3.5-128b,0.7,numeric,zero_shot,0,,plain,24.09,113.25,170.38,0.077973,0.048938,0.474146,0.020588,0.182081,48652,666,52.90195679664612,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 89.0, 681.0, 1611.0, 1302.0, 817.0, 645.0, 668.0, 763.0, 921.0, 880.0, 894.0, 1003.0, 1419.0, 1719.0, 1451.0, 1087.0, 693.0, 529.0, 483.0, 144.0, 40.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistralai/mistral-medium-3.5-128b,0.7,numeric,zero_shot,0,,plain,21.08,98.29,154.28,0.077951,0.060485,0.586025,0.02584,0.228531,48652,663,65.57229614257812,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 88.0, 662.0, 1426.0, 1161.0, 883.0, 645.0, 524.0, 800.0, 854.0, 807.0, 727.0, 938.0, 1212.0, 1600.0, 1621.0, 998.0, 659.0, 438.0, 429.0, 135.0, 27.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistralai/mistral-medium-3.5-128b,0.7,textual,zero_shot,0,,plain,43.49,191.08,306.28,0.083681,0.037954,0.367727,0.018347,0.16226,51727,812,41.25127601623535,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 88.0, 664.0, 1462.0, 1047.0, 953.0, 725.0, 563.0, 910.0, 922.0, 674.0, 771.0, 896.0, 1288.0, 1832.0, 1699.0, 1639.0, 979.0, 693.0, 532.0, 418.0, 107.0, 45.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistralai/mistral-medium-3.5-128b,0.7,textual,zero_shot,0,,plain,35.76,193.96,319.92,0.083478,0.037486,0.363192,0.016037,0.141837,51727,785,40.87710189819336,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 81.0, 642.0, 1402.0, 1068.0, 953.0, 683.0, 563.0, 887.0, 922.0, 674.0, 771.0, 896.0, 1042.0, 1622.0, 1854.0, 1699.0, 979.0, 693.0, 532.0, 418.0, 107.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistralai/mistral-medium-3.5-128b,0.7,textual,zero_shot,0,,plain,20.94,115.88,176.28,0.082571,0.015995,0.154972,0.007085,0.062659,51727,664,17.23762845993042,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 89.0, 668.0, 1404.0, 1074.0, 953.0, 683.0, 563.0, 887.0, 922.0, 674.0, 771.0, 896.0, 1042.0, 1622.0, 1699.0, 979.0, 693.0, 532.0, 418.0, 107.0, 20.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistralai/mistral-medium-3.5-128b,0.7,textual,zero_shot,0,,plain,26.97,119.71,176.51,0.082548,0.021058,0.204023,0.011021,0.097467,51727,661,23.47879457473755,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 84.0, 638.0, 1440.0, 1023.0, 765.0, 594.0, 557.0, 881.0, 922.0, 767.0, 761.0, 898.0, 1187.0, 1747.0, 1549.0, 1010.0, 732.0, 483.0, 497.0, 181.0, 64.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistralai/mistral-medium-3.5-128b,0.7,textual,zero_shot,0,,plain,22.58,110.29,174.64,0.083868,0.095295,0.923296,0.043915,0.388394,51727,837,103.30492568016052,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 170.0, 745.0, 1347.0, 1231.0, 942.0, 659.0, 681.0, 883.0, 858.0, 836.0, 880.0, 949.0, 1157.0, 1772.0, 1692.0, 944.0, 592.0, 561.0, 434.0, 124.0, 23.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
