Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,qwen3-14b,0.7,numeric,zero_shot,0,,plain,10.27,11.22,11.59,0.0,0.342532,0.769734,0.069567,0.61526,12440,218,5.429742336273193,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[113.34, 115.37, 114.24, 117.85, 113.92, 116.11, 114.68]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[INPUT]"
Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,qwen3-14b,0.7,numeric,zero_shot,0,,plain,5.09,5.4,6.04,0.0,0.121795,0.273696,0.040343,0.356804,12440,234,2.5276894569396973,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[107.5, 107.8, 108.3, 108.7, 109.4, 110.2, 111.1]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[INPUT]"
Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,qwen3-14b,0.7,numeric,zero_shot,0,,plain,5.06,5.37,5.94,0.0,0.145142,0.326162,0.037744,0.333817,12440,248,2.6478638648986816,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[107.354, 106.671, 108.278, 109.711, 110.822, 109.248, 110.419]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[INPUT]"
Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,qwen3-14b,0.7,numeric,zero_shot,0,,plain,8.29,8.98,9.15,0.0,0.132283,0.297265,0.042444,0.37538,12440,248,2.667745590209961,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[117.453, 114.116, 111.182, 111.196, 112.462, 113.154, 110.251]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[INPUT]"
Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,qwen3-14b,0.7,numeric,zero_shot,0,,plain,6.45,6.93,7.25,0.0,0.142901,0.321125,0.042778,0.378333,12440,248,2.667653083801269,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[114.754, 113.359, 112.063, 110.768, 109.473, 108.178, 106.883]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[INPUT]"
Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,qwen3-14b,0.7,textual,zero_shot,0,,plain,1.8,1.88,2.34,0.0,0.44241,0.994179,0.088598,0.783576,14099,255,6.024855852127075,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[104.3048, 104.3048, 104.3048, 104.3048, 104.3048, 104.3048, 104.3048]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[INPUT]"
Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,qwen3-14b,0.7,textual,zero_shot,0,,plain,10.28,11.23,11.62,0.0,0.141958,0.319007,0.041331,0.365535,14099,238,2.6270201206207275,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[114.3, 115.7, 116.5, 114.8, 113.2, 114.9, 116.2]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[INPUT]"
Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,qwen3-14b,0.7,textual,zero_shot,0,,plain,3.39,3.56,4.31,0.0,0.155741,0.349979,0.043687,0.386374,14099,246,2.7194693088531494,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[107.54, 105.32, 107.89, 106.15, 109.68, 107.43, 106.21]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[INPUT]"
Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,qwen3-14b,0.7,textual,zero_shot,0,,plain,5.85,6.24,6.99,0.0,0.129654,0.291357,0.042094,0.37229,14099,234,2.586531400680542,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[107.5, 108.3, 109.1, 110.2, 109.4, 111.6, 112.8]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[INPUT]"
Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,qwen3-14b,0.7,textual,zero_shot,0,,plain,6.71,7.27,8.71,0.0,0.147021,0.330384,0.039629,0.350485,14099,241,2.647529363632202,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[107.34, 105.69, 105.89, 112.12, 118.11, 111.57, 115.03]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[INPUT]"
